TransactionID,NewAmount
1427660,443.41
1170035,9641.85
1222312,8844.63
1435133,8941.09
1293708,8018.43
1482568,2.98
1439221,1759.28
1497875,8047.77
1259197,4496.77
1041411,7772.00
1353088,3993.24
1287390,4691.93
1039847,8290.19
1229785,3709.91
1301762,2133.27
1204941,8316.31
1148934,3111.05
1265683,4792.99
1163619,3172.40
1269026,496.66
1174627,8066.67
1352371,3238.37
1280889,7976.47
1298672,2365.18
1470247,3529.28
1348810,3563.82
1380084,6079.15
1185527,9326.38
1008881,8525.00
1115585,9503.66
1168387,2241.92
1013380,1088.26
1355569,2108.92
1096074,9185.06
1420183,8851.69
1270097,6220.86
1158581,817.01
1067019,7786.61
1035758,5317.12
1359357,746.63
1418728,3498.44
1047631,2744.95
1098643,9337.25
1403664,4125.62
1006690,1417.26
1467857,6204.99
1174665,772.95
1184791,2105.38
1367938,6846.73
1329805,2053.67
1354031,7211.75
1042272,9660.00
1010752,4934.81
1203757,2733.59
1488198,8886.53
1361530,3265.40
1436998,7458.25
1489588,1766.39
1401686,6936.75
1409619,6385.67
1234406,364.85
1261619,7162.88
1315287,2979.29
1001846,5834.65
1225551,480.46
1418191,4759.00
1154388,4322.33
1240520,6904.59
1466049,7274.04
1241779,8068.15
1368050,9988.22
1380806,8311.84
1261511,8571.46
1388671,7020.54
1051191,9935.52
1419942,2312.69
1258540,1118.63
1257108,4479.80
1310254,7753.16
1116752,3221.72
1186349,8044.65
1310594,9664.27
1233967,4751.69
1006848,8170.31
1067734,1786.60
1016569,7502.42
1286852,7254.44
1068386,5644.12
1091536,7723.41
1101681,3934.88
1345262,5292.49
1018833,222.89
1314751,6535.63
1267550,8624.27
1350415,8474.98
1430356,320.70
1424914,1662.87
1364284,8301.98
1216458,7026.71
1153023,614.81
1137980,7765.86
1121019,8890.35
1086925,3687.96
1121707,2501.16
1477255,1006.89
1003023,880.67
1290199,6031.45
1284282,6286.92
1097359,7521.79
1396062,6481.62
1005724,1785.12
1485139,4107.06
1362644,1547.38
1225871,5507.58
1158638,9818.87
1346845,5632.79
1498449,4260.11
1439156,9549.29
1311326,1763.53
1295010,1644.91
1111409,2039.34
1055228,5826.46
1314281,8829.92
1470027,7311.08
1162953,3250.22
1415455,6397.50
1184951,2677.15
1251131,5590.98
1328840,3998.92
1430415,8700.14
1061061,379.23
1076882,6371.34
1341202,9992.11
1385568,6289.14
1095594,1237.45
1358951,2699.09
1116756,6572.99
1253307,6165.95
1300127,6806.28
1064682,7547.40
1225401,6240.93
1139437,1268.85
1415936,6810.90
1038364,2848.35
1384195,117.60
1442735,3989.91
1239352,9246.13
1050933,3707.85
1429981,620.51
1317785,2453.83
1332994,6813.78
1305689,651.65
1203828,9359.15
1302609,4650.04
1394034,7778.71
1387646,9024.84
1048942,387.94
1070002,3237.11
1488282,3443.83
1444134,9086.46
1205306,1435.69
1292355,3292.27
1475793,7748.78
1339293,1432.58
1388463,7679.08
1191261,6779.88
1483063,5315.41
1450423,7888.11
1163897,5727.35
1384672,6852.70
1176380,769.44
1284976,7393.88
1023861,2519.70
1329563,6038.24
1476294,4879.10
1179688,3361.79
1243781,1183.45
1481022,9127.90
1314105,7330.41
1061794,3878.20
1030054,6029.83
1067910,1376.62
1191834,4508.78
1131137,8622.96
1009670,2840.48
1128940,8100.32
1246165,6027.60
1146758,7776.48
1020443,578.77
1313234,3564.29
1327782,828.80
1237138,4066.84
1349431,2398.74
1196307,6288.74
1273403,2214.27
1057051,1738.32
1243999,9165.78
1116719,8632.75
1276862,8230.28
1448406,7096.32
1110722,8086.74
1017464,294.20
1078296,6344.20
1008873,7613.79
1020494,4006.75
1435556,5691.25
1000378,8590.81
1384914,7803.40
1041894,6591.56
1399224,2049.49
1004286,9435.95
1254593,4317.40
